"Name ","Purpose","Quantity","Price in USD","Link","Distributor"
"PCB(moq5)","The main board","5","3.20","https://jlcpcb.com/","JLC"
"2x20 Pin Female Pin","For the board","5","4.3","https://robu.in/product/2-54mm-2x20-pin-female-double-row-straight-long-header-strip/","Robu"
"10KΩ SMD","For the PCb","40","0.42","https://robu.in/product/rc0805jr-0710kl-yageo-smd-chip-resistor-10-kohm-%c2%b1-5-125-mw-0805-2012-metric-thick-film-precision-pack-of-10/","Robu"
"Tactile switch","to power","10","0.5","https://robu.in/product/tact-switch-tvcm04-4-5x4-3mm/","Robu"
"SMD Led","for the light","20","0.51","https://robu.in/product/17-215surc-s530-a2-tr8-everlight-red-624nm-led-indication-discrete-2v-0805-2012-metric/","Robu"
" SMD","for the board","20","0.15","https://robu.in/product/330-ohm-1-4w-1206-surface-mount-chip-resistor-pack-of-100/","Robu"
"Shipping","incl.pcb","","25","",""
"Tax","","","1.1","",""
"Total","","","35.18","",""
"Round Off","","","36","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
